Job Title,Tell Us Why You Left?
"Mgr,Rgnl Sales,Wholsale","A significant portion of my market was taken awY by a new manager. He even called to acknowledge “I got the short end of the stick”. In addition, numerous promises where made and not followed thru on. "
"Specialist,Special Servc.","There are multiple reasons why I decided to end my career with Carrington Mortgage Services. One of the main reasons was due to a lack of transparency with management. Management would hold some associates accountable for their actions but not all. You had associates that were being written up for reasons that we're never clearly outlined nor were they in the policies and procedures and then you had other associates that committed the same offenses on numerous occasions and were never addressed which created a sense of favoritism throughout the department of Loss mitigation. Management also dictated which associates were privileged enough to receive higher monthly bonuses. There have been plenty of instances where associates addressed management about secret lists that were sent out to ""select"" associates giving them an unfair edge in the monthly incentive. Management stated the rumors were false even after associates that received the lists from the Anaheim location and forwarded them to the Plano location to review. This instance had the ""selected"" associates bonusing between 3-8 thousand dollars a month on incentives while the other associates were left working hard on unworkable accounts thus impacting performance. There was an issue that came about during my time away from Carrington to where I reached out to my managers for clarity and to handle said situation before my return and management did not respond to my calls, emails, or texts messages. All in all Carrington mortgage has been by far the worst place that I have ever worked for especially considering the fact that the management staff orchestrated a well thought out plot to write me up and put me on a performance plan that would've impacted my biggest bonus I ever received while at the company which was around Christmas time. Management showed no compassion considering the fact that they were trying to take my bonus even after the fact that they delivered the write up while I was out of the office while addressing my disagreements with the write up I was advised by management ""it is what it is"" and to ""do what's best for me and my family."" HR sided with me after heated back and forth dialogue which ultimately resulted in HR overturning my initial write up and providing me with my Christmas incentive. While out on leave dealing with a variety of ailments I decided that Carrington is not a great place to work. The management doesn't care about its associates the later part of my time with the company was filled with stress and confusion. Gossip amongst the team and with management was the final straw for me to hear gossip all day long even while I was out on leave was concerning and the fact that managemt was also involved in said gossip was enough for me to make the decision to take my talents elsewhere to a company that truly appreciates me and what I have to offer. I hope Carrington hires new people to run its operations because as constructed right now it's not being led by ideal management and the sad thing is it's plenty of other associates that feel the same way as I do and if Loss mit isn't careful there is a strong possibility that a lot more of their associates will be leaving the company also. / "
"Mngr,Payroll",Medical reasons.
"Mngr,Area Sales, Whls",I was a Circle of Excellence producer and a top performer manager. The company “eliminated “ my Area Sales Manager position as part of a reorganization. Then two weeks later Greg Austin hires in his own Region Manager in my area?  Makes no sense at all. Not to mention that he never once spoke to me or even sent an email. Totally unprofessional in my opinion. I left because the senior leadership team is has lost touch with heart of the organization. 
RE Sales Agent,I wanted more of a leadership opportunity. I wanted to have more opportunities available and much better training
"Loan Officer, Retail II","I emailed my resignation letter to Sr HR Jerry Kitchens (please read it)  / New manager (A. M) treated me unfairly (other los witnessed this and told me to notify HR, they were fed up with his behavior and demeanor towards me since he did it publicly and humiliated me)  and all he tried doing was getting me written up instead of doing his job of managing and training. He also gave best leads including online leads to only 3 of his favorite los. I know this because I sat next to one and always heard “thank you for calling Carrington...or “I’m calling you in regards to your online inquiry...” we never got those leads so of course those few los had better numbers.  / Then New VP (Jimmy) came a month ago, which we were all so excited for since we thought he would protect us, bring  equality, and make us ALL more successful but instead, all he implemented was more write-ups and made it clear that he will get of us all out since we lacked production) I tried to talk to him but he wouldn’t listen. He had a final warning for me which I didn’t sign since my first write up was only 6 days prior. That’s when I contacted Jerry kitchens. Many good Loshave left and continue to  leave (we all communicate). Many lo’s have left for same reason. They n jimmy talks negatively about us all who have left saying that we had very poor numbers, etc (they have meetings like this) All management has been doing for several months is writing everyone up (I was first to be written up, then one by one all the others, except 4). Now there are 13 Los remaining and more will be leaving. What’s very sad is all we wanted was to become more successful with proper training and better technology and what we got was written up and threatened that if numbers don’t go up we will all be let go of. That is why we all left (we are all friends). We went to work in fear everyday, fear of no loans or fear of getting written up or terminated. So we took it upon ourselves and resigned once we had a new career. Word has spread all over linked in and local mortgage companies. I hear “what are they doing over there at Carrington that so many los have left in such a short time?” There needs to be an HR person stationed permanently at the Scottsdale branch. I used to love  working at cms but now I’m so happy to be out of there and I’m doing really well at my new company. I’m myself again having great conversations with homeowners and making their lives better which I why I became a loan officer (I used to be a teacher). The sad part is, I left behind a few good los but they are also looking for better jobs. We talk daily and they say that it’s awful there and they can’t wait to get out but what’s keeping them there is fear of getting the bill for their licensing (which some have gotten) I was fortunate since I had my year in dec. Please investigate into this since these are people’s lives that jimmy and Andy are messing with. It’s not a joke and EEOC might want to hear about this. "
"Loan Officer, Retail",To sloppy in processing-underwriting! Speed to close and volume over care and accuracy for customer!
"Loan Officer, Retail II","The site director in Nashville made for one of the most uncomfortable work environments that I've ever experienced. If you didn't ""work out in his gym,"" or ""tan at the same tanning bed"" as him, you didn't fit his clique. I even expressed concern with HR about the environment he was creating. When a sales manager position opened up, he stated that my ""son's medical issues were a concern."" Though I can appreciate wanting to ensure management coverage, using my CHILD'S medical condition SPECIFICALLY as a reason for not being considered for a management position is vile. "
"AE, Wholesale","Because of the decision by executive management to no longer allow AE's to prospect anywhere west of the Mississippi. It's a horrible business decision and not at all good to limit sales people in this business, so severely, to where they won't be able to grow a strong business and generate all of the income they should be able to."
"Loan Officer, Retail II","Comp plans changed frequently and without warning.  Environment was negative / ""boiler room.""  "
"Loan Officer, Retail II","It was not my choice to leave in fact, I have a very serious series of consequnces.  Least of which is the fact that l cannot walk without assistance and therefore I am still not allowed to drive.  I made every effort to contact my manager, Andy, via text and then email once I was finally able to use a computer .  As of today , I haven't heard from Andy or the Scottsdale manager James Terrense .  The only reason that I know his name  is because other associates told me.  Personally and professional, I believe that this is unacceptable for any company.  "
"Specialist,CS,I",The work environment was overwhelming for me. The office was too big. There were too many people talking at the same time. Managers talking and laughing loudly. It was very difficult for me to focus and concentrate. 
RE Sales Agent,There was no Synergy with in the office.   Many of the programs that were suppose to be implemented never followed through through completion.   Reduced amount of REO inventory and fewer assignments.
"Specialist,CS,I","I left with regret since I just recently gave birth to my child in February and even though the company provides you with six weeks of paid leave, I was going to manage returning if I found childcare that I was satisfied with and that put me stressed. It had nothing to do with the company it was amazing working with amazing people I look forward to reapplying again in the future when my son is a little older."
RE Sales Agent,"100% commission with less than $2,000 cap a year with no other fees.  Quick payment the next day after closing. Not really interested in doing REO properties. "
"Specialist,Bankruptcy,II","The culture in the Bankruptcy department is sexist and upper Managament built a culture of nepotism. The Human Resource agent in Plano is unqualified and she has been seen laughing at employees as they are being terminated. Also, these is no such thing as Mandatory Over time, you can't hold your employees hostage. Eric Harrison and Brian McGarry are the 90% cause of your high turnover rates in Bankruptcy. How many more employee complaints will it take until a course of action is taken?  My high work ethic and zero attendance issues kept me out of their office, thankfully. However, they always found a way to belittle all those around me. Managers quitting, walk outs, managers demoting themselves...Brian and Eric are the common cause in all these actions."
RE Sales Agent,Territory manager Freddy Rodriguez was great with me at all time and I learned a lot from him. Main reason was the comission split that did not worked out for me. 
"Analyst,Treasry,Faclty,Sr",Long daily commute from Corona to Aliso Viejo.
"Specialist,BK,Sr.",Management treated employees as though everyone was replaceable.  Those exact words were told to me.  Cms does not appreciate their employeess.  We were talked to very inappropriately and promises never kept.
"Loan Officer, Retail II","I reason I left was the I was forced to change comp plans when I didn't want too. The plan cut my pay in half, I was told upper management suggested that I move to the new comp plan because of my monthly avg. of 4 which was the floor minim to stay on the old comp plan. I feel like I was forced to change and with the rates moving up it made it alot harder to make the money I was making to survive there. I was sad to leave but the pressure was way too much. Very micro manage at Carrington."
"Loan Officer, Retail",I was not in a position to succeed with the new sales quotas given the current rates rising 
"Loan Officer,Brnch,Inside",I am new in the purchase side of the business and needed more assistance and guidance in getting going with ramp up my business. 
"Specialist,Default Vendor","Low compensation, weak management. Carrington does not value its employees "
"Rep,CustomerResearch,CMS","My boss Jennifer fox is best friends with aileen’s Wife.  Aileen works in research department and so did I.  I went a couple of times with a small group in our department and Jenn, Laurel Gilbert, Aileen and her wife were all there.  I decided to not to go anymore.  After that Aileen started to harass me at work.  Came into my work area and told me fuck your, stood at her desk and told me what the fuck you looking at. I went to my boss Jenn she told me go seat down and wouldn’y Let me really tell her what happened because she said she heard it.  Later in a meeting when I brought it up how I was scared Aileen was going to do something, and repeated everything, she told me she didn’t realize she came into my work area and said it too.  When I went into my vapor Dalia’s office she told me I was a gossiper and when I said me because I was shocked.  I barely talked to her.  She said if it wasn’t me It was with who I association with.  I told her I was scared Dalia told me if she does anything she will be fired. So she was willing to put my life at risk and wait for her to do something.  She told me I was nothing to Carrington and that they would fire me in a heart beat. I then went to hr. She told me She would look into it. When I asked for an update and to try to have a meeting she would never get back to me. I literally had a call from my work phone like I was calling from outside the office and she finally answered. All the data and l she would look into. When I asked for an update on the try to have a meeting she would never get back to me. I literally had a call from my work phone like I was calling from outside the office and she finally answered. When I finally got a meeting with her she told me Aileen was not  supposed to walk by my desk. Which she did all the time .  When we move downstairs they put her in the next cube right next to me. I felt very threatened and I felt like Carrington didn’t care. My boss  is best friends with her wife.  So she didn’t really care.  Before joining the research department I had no issues and worked hard. The was stressing me out and I couldn’t sleep.  My life and  well being is not worth dealing with this.  I really like Carrington but the management is awful.  After I went to HR my VP and  boss were trying to get me fired and wrote me up.  I have witnesses to all of this. I recorded my meetings as well because how bad I was being treated.  I have contacted the EEOC and will be contacting a lawyer.  This is awful and Aileen should have been fired.  I am not the only person she has tageted and been mean too.  She makes fun of people all the time their.  To sum it up she is a bully and gets away with it because who she is friends with.  So I had to find another job, I have a family to support."
"AVP,Broker/Manager",Work/Life balance opportunity
"Loan Officer, Retail II","Reason #1 - Compensation plan - you cannot have a units based comp plan when the average units are less than 3-5 per LO per month. To recruit “good” LO’s you have to have a volume based comp plan from loan #1.  /  / Reason #2 - Management & Leadership - in this site you have managers that are not experienced enough to run/help/guide a sales team or help improve their production. Just telling people to make more dials, and get more app’s, and have more submissions does NOT a good manager make. "
"Coord,DefaultInv,I","Director knows a lot about the industry, but her leadership skills are severely lacking. My first team meeting was employees argument about how pay and other perks weren’t fair, mgt should get to leave when they want and the director saying we’ll i have earned where I am at and that includes perks. She completely lost controls of the meeting. No supervisor or director ever set expectations before the meeting or what would be discussed. I would say their ability to conduct a meeting is subpar. Director sent emails that their would be “serious” discussions if folks didn’t do their invoicing in the order she said. The idea of the email was fine. But is was condescending, included grammatical errors and in the end was just a rant. I can’t even list all the areas of leadership this team is lacking. If there is no leadership, the futures of the employees will inevitably suffer."
"Loan Officer, Retail, Sr","I left simply because of pay and processing.  I had been at Carrington for 2 years.  I loved it there and did not want to leave.  I was almost 100% self sourced and 99% purchase business. when the compensation changed to where units kicked you into the next tier and volume didn't, I had to make the hard decision to leave.  Since I was doing no refinances and all purchase business, it didn't make sense to have to close 9 loans to hit a top tier of 1.5 bps when I couldn't control the timing of the contracts coming in.  In addition, the Processing Department was thin.  We had let go of a number of processors and had one true fully functional processor for purchases.  In order to get 9 or more units each month, I'd have to obtain additional real estate agent partners and I didn't have the confidence that the processing department would be able to handle the volume of everyone and allow me that opportunity.  I had to truly make a heart wrenching decision to leave after making it to COE 2 years in a row.  Had the pay stayed where volume would drive you over to the next tier, I would still be sitting there at Carrington where I had intended my future to be for some time.  I had hoped to work on transitioning to Management and growing my career with Carrington but in order to continue to provide the same level of comfort for my family and be able to keep the income consistent in order to purchase a new home for my family, I had to make the decision I felt was best for us at that time.  If you have any questions, you are welcome to call me at 904-716-2540.  I loved Carrington and would still recommend Carrington to others. "
"Loan Officer,Brnch,Inside","The company itself has great products and a great platform. I left Carrington Mortgage due management being inefficient and not providing adequate support, along with the difficulty in speaking with my direct manager. There was little to no support when it comes to pushing loans through the process as well as not being a liaison with other departments. This in essence makes it very difficult to get loans approved, and even more difficult to get loans funded, which means no one makes money. "
"Specialist,Foreclosure,II",To be closer to my family.
"Analyst, Loss","I shared my very candid reasons with both my supervisor and my manager, as well as HR. Director of the dept was a horrible leader, condescending, brash, abrupt, 0 people skills. No 401k match when we're told how well the company was doing and how it was all because of us (workers). Selfish and unappreciatuve. Talented people leave, so most left aren't mgmt material, however they're promoted anyway. Stress and pressure to produce with no emphasis on quality, rather quantity, leaves a chaotic mess up the chain. No raises... Merit or cost of living, despite effort, leaves one with no motivation to continue to give above minimum. No talking to coworkers outside of breaks was allowed, leaving a feeling of being treated like elementary school kids. I could go on, but I know upper mgmt won't do anything to change the culture. Most of my coworkers feel trapped and lack the support or confidence to leave. Just a very smothering place to spend 8-10 hours a day.  "
"Loan Officer, Retail II","Direct Management. Please realize that so many people have left not the company but the Manager. No follow up, no accountability, no leadership. I loved Carrington as a company but unfortunately my direct Supervisor Frank Caruso ruined the experience. I have never been so frustrated working for someone. Great person individually but has no idea how to lead people everyone was frustrated. Had to learn to work around him because he hid behind blanket emails all day, didn't have any knowledge of products, systems or people. We were told we had to switch to blended compensation plan, then they cut the comp plan to making 20 bps. no chance to make any money and to have a manager yell at you to get setups, processing not moving files and to not make any money, no choice but to leave. Manager lost 10 people in my short 6 months there all out of frustraton"
"Analyst, Collateral",New opportunity at another company.
"Funder,Sr.",The management is very poor! No training or patience. I felt very singled out was very stressful because I wasn’t able to effectively do my duties and roll because of poor management. Team lead very disrespectful and rude which cause me to become stressed on a daily basis. 
"Loan Officer,Brnch,Inside","I was approached with a better opportunity ,leads,and a better bps on self gen deals."
"Loan Officer, Retail II","The processing in Scottsdale was unacceptable, we were asked for a deal a day and there were no demands on the processing and underwriters, As a loan officer based on Carrington pay structure we were only paid on fundings, it was not unusual for a deal to take 4+ months"
RE Sales Agent,I left the Boca office for several reasons.  Firstly most of the agents in the office are newly licensed and inexperienced I need to surround myself with seasoned professional agents.  Secondly the manager was assigning the REO listings to his wife which I felt was a conflict of interest.  Lastly most of the transactions I close are in Broward County the Boca office was no longer convenient for me.  
"LoanOfficerAsst,Branch,I",Horrible experience . It was a nightmare working for Eileen Collins. Had to get human Resources involved and was treated like an enemy. 
"Loan Officer, Retail II","In 2 years with the company, I had 4 different compensation plans. Despite the positive spin by management, these changes were not in my favor. The last one is the one that prompted me to leave because they took away the ability “tier up” based on loan volume. To reach the same tier equivalent with what was formerly $1,000,000, one must now close 9 units. This would result in a significant pay decrease. Management wants us to operate like a high volume call center (such as Quicken or loanDepot), but the company is too inefficient to offer LOs the opportunity for success in such a model. Chad Ruggles is the worst senior manager I have ever had the misfortune of being around. He simply does not care about employees at all. I personally saw an email that was only sent to sales managers, in which he stated that the success of the individuals on the team isn’t what was important, but only the sales manager’s personal success. Morale among employees is terrible. LOs work under a tremendous amount of pressure to perform at a high level or face the threat of losing your job. It’s a level of pressure that negatively affects personal life and, quite frankly, just isn’t worth it. The constant expectation shoved down your throat of doing more while at the same time being paid less to do it. In addition, the retail centers have become nothing but in-house refi shops (the loans that pay the least on the pay plan). There is zero emphasis on (or time allotted for) generating outside business, which is what actually pays decent amounts. The company doesn’t share best practices internally. Instead of just demanding more out of LOs, why can’t sales management show exactly how another loan officer in a different retail center is able to submit 20-30 loans in a single month? I can tell you processes in the Nashville center are not such that any loan officer could submit 20 loans in one month. "
"Specialist,Lien Release","I was given one raise of 64 cents in two years and a half. Promise of bonuses coming to departments went on for 3 years. Had my raise denied when I transferred departments, was told raise request was “too much”"
RE Sales Agent,A family friend is a co-owner of a local brokerage. 
"Coord,Transaction,II",I switched to 1099 still with Carrington
"Loan Officer, Retail II","Carrington was good to me.  My boss, David Andrus was very good to me.  I loved my team.  I just came from a background in sales where I worked outside the office and had interaction with people face to face.  I was not designed to work daily in a call center.  I decided to leave the industry and start my own business outside the industry."
"Loan Officer, Retail Ctr","Direct management  was Frank Caruso and was the most underknowledged manager I have ever seen. He assumed no responsibility for files sent to processing,  training of new Lo's, or onboarding because he simply did not know the answers. Files hardly closed in the office as no one knew how to process a file. The office VP was non existent on the floor. I have 13 years experience as an LO and Carrington lost 2 other experienced Lo's  with me because of these issues ."
"Specialist,BK,Sr.","The department was very disorganized, low pay, too stressful, too much work, people around me constantly complaining about going to another company, no management and unprofessional. I was assigned 236 loans on my first day without any training on systems, policies, procedures or any real direction. "
"Loan Counselor,Srvng,II",Medical emergency. I was hospitalized a week and missed more than 2 days of training. I was terminated because of this but deemed rehirable and am hoping to be given another opportunity as it was beyond my control. 
"Specialist,Cash Ops",Hostile environment in the department I worked in.
"Rep,CustomerResearch,CMS",Moving and decided to be a homemaker
"Mngr,Loan Set-Up",I left to pursue another job opportunity I couldn't pass up.
"Admin,ITVendorProcurment",I have elderly parents that need my assistance for care. 
RE Sales Agent,"My objective joining Carrington was to establish a Solar + Real Estate Alliance. I primarily work in the Solar Sales Industry but am also a licensed realtor since 2006. I cannot commit to selling real estate full-time. I was working with Jerry on program to educate Carrington Realtors. After Jerry left there was no longer that platform. Because Carrington is a large corporate system it would make implementing my plan more difficult to gain approval. Additionally, since I live in Murrieta, the Rancho Cucamonga office is further away that I want to go for meetings, that I don't have time for right now anyway."
RE Sales Agent,"Hi, so sorry I am late on this.   /  / Carrington Real Estate is an excellent company and my only problem was that it is residential and I am totally commercial,  I mistakenly thought it would have more of a commercial slant. However, my manager Al Villegas did attempt to build a Multi-Family division within our office but regrettably, I was unable to commit the time and funds to help make this a successful endeavor on my end. /  / I would highly recommend any residential agent to this company. I enjoyed my manager, the agents and staff very much and will miss them. /  / Sincerely, /  / Suzi Conner /  /   /  /  /  / "
"Loan Officer, Retail II",I wanted to become an underwriter and my branch manager for jax sales 1 said that i wouldn't be able to go to underwriting that i would have to become a submission processor first then a processor then to underwriting after a couple pf years. I truly loved the company bur did not want to do sales any longer and a anothrr company offered me an underwriter iv position so i took advantage of the opportunity that I have been waiting for.   My sales  manager was aware that I wanted to become an underwriter when I started my employment with Carrington And I feel as though nothing was done to put me in the position I was looking for and develop my career.  I was also told by the branch manager that I would be unable to return to Carrington if I ever wanted to do so and I felt that was very unprofessional because  It's not like I left the company to go work for another mortgage company as a loan officer.I did not leave Carrington to go to another sales position I left Carrington  to go to an underwriting position which I wanted to do for several years  And to say that I can never work for Carrington again isn't fair because I didn't leave to go to sales somewhere else and then want to come back.  I left so that I could do a position and develop my career like I've been wanting to do for a long time and like my direct sales  manager knew this from even prior to me starting at carrington.   I knew my cells manager at a previous company we had worked for and she called me last year to try to recruit me but at the time I was working everbank as a loan officer and told her I wanted to become an underwriter and i was going to stick it out with everbank. When I left ever bank I applied to Carrington for a sales position and did not even go through that sales manager who tried to recruit me  which I had known for years from working with at a previous company anf i still got the position  And then when I did get placed on her team she was aware of my career goals.  Due to the fact that the branch manager told me I was not eligible for re hire if I left I am going to answer I am unlikely to return to Carrington because per that branch manager I'm not allowed to do so if I ever wanted to which I am not very happy about because i really liked Carrington and enjoyed working there as well as the company as a whole and my coworkers.
"Loan Counselor,Srvng,I","I did not leave, I take it that I was terminated. I was to report back to work on January 25, 2018, but it turned out that at that time, I was back in the hospital again for some surgery. I would still like to return to work and provide documentation for my absent. Believe there was some missed communication, contacted Shannon, but there was no return call from her, about my absent, but it was after I was released from the hospital."
"Specialist,Escrow Analys","I'm not the type of person to blame others for my problems, but I honestly left the company because I felt that I was being unfairly targeted by members of management within the department. I was being treated unfairly up to the day I turned in my resignation letter, where I had warmly expressed my pleasure with working with the company, only to be told that I'm to be paid out and can't work my last week despite wanting to do so, because of ""everything that has happened in the past."" /  / I have followed the company policy, raised issue with it when something did not make sense, and from that point forward I was nitpicked and at one point directly told that they changed the policy because of me.  /  / I enjoyed working with Carrington in the call center. The environment was much different, people were much more enthusiastic, and I felt like I had room to grow. I was resisted at every point during my time in escrow, whether it be when asking for more responsibilities or feedback and going months without either, or the judgemental comments leadership would make when something wasn't understood, or offering improvements only to have it interpreted as making management seem incompetent and unable to handle it themselves. My enthusiasm for the job quickly went out the window. The gossiping, nepotism, passive aggressive attitudes, rude sideways comments, all from members of management, all the way up to the vice president of the escrow department, made me lack any sense of confidence in the leadership, and I felt that my job was at risk. I felt unwelcomed and uncomfortable at work. I felt unable to complain to anyone for fear of retaliation. Every time I've complained to HR it's been with a different person, so I don't even have anyone I can follow up with.  I explored all options before leaving the company, however I felt that I was no longer valued.  /  / I would also like to take issue with the fact that I was written up 4 times in 3 weeks after requesting to transfer from the department to another area. So while I was being reviewed for a different position, I had all of these negative write ups that happened to come up as well.  It's things like this that made me feel that I was being worked against.  /  / I enjoyed working with Carrington and would work with the company again. But I would absolutely not work for escrow and regret transferring to that area. They should understand that the way they treat employees has an effect on their performance, attendance, and retention. These things have already been outlined by the executive team, and those are the values I was told the company valued. "
"Specialist,CS,I",I only left Carrington because the distance from my home & the hours I was working was negatively impacting my daughter
RE Sales Agent,I was no longer on the REOteam / And was not receiving leads as I once was. Essentially because of this I asked for a bigger split of 90/10 for the transactions I brought in but was denied. This is why I left though I do love Carringtons as a company.
"Loan Officer,Brnch,Inside","Wasn't team work.  Very very negative.  Everyday I felt beat down, I was slowly building a pipeline and it was never good enough, needed more, more more.  Well when you are feeling beat up you cant produce.  I need a positive atmosphere.    I love the co Carrington and some of the products.   It seems they weren't able to listen.  I wasn't gone a week and they gave a top producer my lead I was working for over 2 months - I begged to get them signed up and they wouldn't let me.  Then they assigned her to one of their ""favorites"" in the office.  Also, needed help with products and all I was told was ""check the matrix"" never a consult.   Carrington is a great co otherwise.   Best of luck :)  /  / Thank you for the opportunity to work with you! :) "
RE Sales Agent,"The office was to far unable to make it to the meeting,"
RE Sales Agent,"Lack of support for one. In addition, I was told that I'd receive foreclosure listings, I got 1, which was overpriced and won't sell. Regarding my own listings, why would I split the commission w/ Carrington when you've done nothing for me and are unable to help me."
"Tech,Building Maintenance","I felt  unappreciated a lot of times, over worked at times because it felt there wasn't a good work/ home balance. With everything I've done didn't  prove in the last 2 years why a  raise was in order rightfully so. Also I felt my department didn't fight to keep me around if they really wanted me to stay. the whole  Morale of the department changed when Brian  Gordon came on board and not in a good way. I love Clay and Dennis and enjoyed my time there but I had to move on at the moment hopefully things will get better."
"Coord,Closing","I was a part time full time employee for 16 months, which meant no holiday pay or vacation. I worked long hours and weekends. My medical condition could not handle the long hours and the stress that is related to the position, They need to hire more closers not increase our portfolio. We depended on other departments and vendors to do our job efficiently but they cant seem to do there job correctly for us to process the closing which takes double time per file."
RE Sales Agent,"Well first off, I didn’t want to leave because I love Maria Zuniga. I respect, admire and trust her. She is extremely knowledgeable and an excellent source to agents. I left because I’d like to manage my clients’ properties and Carrington doesn’t allow agents to engage in property management so I had to make the difficult decision to leave. Should that not pan out, I’ll be back, or go wherever Maria is :) "
"Specialist,CS,I","I was a part time representative. management didn’t want to work with my schedule for the next 30 days. There was no flexibility in this part time position which was causing stress on my full time job. I was offered a good position at my full time position, i was willing to stay part time and work additional hours when necessary. The decline to work my with training schedule so I had to resign. "
"Loan Counselor,Srvng,I","There were a few reasons, one mainly was the compensation....I felt completely disrespected when I found out individuals were getting hired at a higher pay rate hourly than I was with less experience.....especially when I have sacrificed so much for carrington....I’m talking 2...3...4 dollars an hour difference than what I was paid....it was a complete slap in the face.... /  / Secondly it was your attendance policy....I was stuck on a cruise boat in sept during Hurricane Irma and I received an occurrence for that....REALLY?!? /  / Several other issues as well from supervisor mistreatment to favoritism"
RE Sales Agent,"I didn't get enough value for the commission split portion that you received. I thought you would provide more leads and listings that I could profit from receiving. I gave you a lot of non-productive, non-income generating work but I did not receive any value or profit from my work. 99% of my transactions were agent generated. I anticipated that I would get more value from the company."
"Specialist,Bankruptcy,II",Left to move to New Hampshire as wife obtained job there in November. Slower paced life and quality. No more traffic and congestion and long car cummutes.  /  /  / 
RE Sales Agent,I had another opportunity I wanted to pursue.
"Mngr,RgnlSls,Whls,Inside","Technology and procedures were extremely difficult to work with, leadership could not create an environment that felt positive, innovative, and fun. The days were full of toxic conflict with customers, operations, leadership, and employees with no improvement in sight. "
"Analyst,Financial",Studying full time.
"Loan Officer,Brnch,Inside","In October it was announced that the loan officer commission package was going to change. For 3 months the package was only rumored, no one knew what to expect. I was hired with an expectation that I would have access to portfolio refinance business. This turned out not to be the case. The platform to self produce in Las Vegas is better at your competitors offerings."
"Analyst,Treasry,Faclty,Sr",Having 12 hour days on a consistent basis as well as having to each lunch at my desk while working in order to keep up with the workload that was set to me. Also the workload was skewed between new hires and when I stated that this is a lot of work to my team lead nothing was done
RE Sales Agent,"Carrington was not offering what I needed. The tools were outdated and did not work well together. I also wanted MORE in my business. I work very hard and I brought 98% of my own business to Carrington. By the time you implemented the new tools it was too late. My goal is to get business in a higher price range and a lot of the time I did not feel supported in that. I was with you for about 3 1/2 years. Moving companies is not something I take lightly. Our focus was not in the same direction. /  / Also, I NEVER expected assets, I saw that as icing on the cake. But what you taught us compared to what was expected was awful. The chart says one thing the process is different. It's not clear...instruction needs to be more streamlined and updated frequently.  I also felt assets were distributed unfairly. If I have PROVEN to you I do good business and 98% of my closings were from my own efforts then I should have been considered for more. Yes, I know numbers are down in that area but I still say if you get five, give them to the five who work their butts off. /  / Too many different platforms. Boomtown was awful. I know you no longer have it, but my clients hated it. Half the time you could not send clients listings from there to keep them in the system because the links were broke. Called many times on this with no success. I'd be so upset when my clients would send me stuff on Redfin. Our company should have been that good with the tools! /  / The lead system was awful. I never closed one lead. I worked the heck out of them too, but toward the end I could have cared less because I felt they were bogus so why waste my time. /  / Meetings needed to have more ""MEAT"" in them.  /  / I enjoyed my time with Carrington. I do not want this to seem all negative because it is not. However my decision to move was a really hard one for me to make because I love Maria (Long Beach) but ultimately I have goals and dreams and I could not reach them there. My move was not an easy decision. "
"Admin,Entps CRM, Lead",Had to care for parents and did not qualify for leave.
RE Sales Agent,Many different reasons!! 
"Coord,Vendor Relations",CHS was acquired by another company and I was not chosen to be a part of the new company. So my position was terminated.
"Specialist,CS,I",family reasons 
"Coord,Field Services,II","I did not leave. I was laid off, and then not hired by the other department."
RE Sales Agent,"no communication, seemed like nobody cared, very poorly managed  Tampa office."
RE Sales Agent,"SUPPORT:  I have a full time job and trying to start real estate in the evenings and weekends.  There are no face-to-face meetings offered to me, as there are to day time agents.  I have not received any personal emails or phone calls from my Broker to how I am doing, to set goals, work on a plan to meet my goals or to provide any other bit of coaching.  Yes, there are webinars and videos.  However, how do I implement without the support? /  / THINK OUT OF THE BOX:  There is a huge group of agents out there who want only to work part time, perhaps.  You can grow Carrington exponentially by offering a mentor program to an agent to lead training and coaching on the weekends and evenings.  If not, your are agents probably consist of retirees, stay at home moms, or spouses of wealthy households.  Return on invested time is slow in real state if there is no support.   /  / COMMUNICATION:  What is the Broker's system to maintain communication with all the agents?  It should be weekly monitoring and support.   /  / THE RIGHT WAY:  I spoke extensively to the Broker on the phone before signing up with a new company.  I receive daily/weekly messages from the Broker and his leaders to ensure my start up success.  Since transferring to another Broker, I now have met my mentor and discussed immediate actions.  I have been given rental leads.  I have a technology system, but, with plenty of support.  I have a quarterly training schedule of modules online to watch at my own pace.  I also have support from the group providing the modules.  There are live training sessions that truly would entice me to take a day off from my full time job to attend.  All this in the first week!  Love it! /  / Therefore, offering things agents don't need or can't use will off course result in ""non participation.""  I am not completely new to real estate, I just needed someone to guide me weekly.  The year before signing with Carrington, I closed a rental with my friend.  I showed homes to potential buyers and worked with a Broker in another county from afar.  When I interviewed with Mr. Rodriguez, I told him I needed more support to get a good business started and sustained.  He said they would be there for me.  I have never even sat down with him to discuss yearly goals.  My only support from that office was with another agent, John Baltz.  Although he was available most of the time to answer questions for me, he was not there to help me build a business.  I feel I have wasted money on association dues, Supra key and BOX, as I have never left the STARTING LINE.  "
"Analyst,Research&Rcvy,II",Pay is very low.
"Loan Officer,Brnch,Inside",I am very grateful for my time at Carrington.  Everyone was supportive and encouraging. /  / I experienced a significant decline in volume and accepted a position as an LOA. 
"Specialist,FC,I","My family and I are relocating to Indiana. I tried my best to transfer, however Westfield office didn't have my position. I will definitely apply once I'm settled in and can work with set schedule since I have small children."
"Specialist,DefaultMIClaim",I had a family issue that requires me to move which would put me too far to commute for work. If Carrington had offered a way for me to work from home part time I would have stayed with the company.
